metro_minutes,metro_walking,total_area,living_area,kitchen_area,price,utilities_amount,utilities_included,prepayment_months,is_long_rental_term
12,1,336.0,,,590000.0,0.0,1,1.0,1
2,1,170.0,110.0,16.0,650000.0,0.0,1,1.0,1
5,1,338.0,243.0,43.0,650000.0,0.0,1,1.0,1
8,1,52.0,31.0,10.0,80000.0,0.0,1,1.0,1
4,1,91.0,,,95000.0,0.0,1,1.0,1
9,1,56.0,35.0,8.0,105000.0,0.0,1,1.0,1
8,1,80.0,44.0,10.0,120000.0,0.0,1,1.0,1
8,1,94.0,42.0,12.0,135000.0,0.0,1,1.0,1
7,1,40.0,24.0,9.0,135000.0,0.0,1,1.0,1
0,1,94.0,64.0,9.0,145000.0,0.0,1,1.0,1
6,1,90.0,10.0,,145000.0,0.0,1,2.0,1
7,1,120.0,86.0,10.0,165000.0,0.0,1,1.0,1
7,1,170.0,109.0,18.0,175000.0,0.0,1,1.0,1
5,1,140.0,53.0,10.0,180000.0,0.0,1,1.0,1
7,1,41.0,,,180000.0,0.0,1,1.0,1
7,1,120.0,72.0,15.0,190000.0,0.0,1,1.0,1
10,1,95.0,,,200000.0,0.0,1,1.0,1
4,1,130.0,15.0,,220000.0,0.0,1,1.0,1
7,1,70.0,48.0,14.0,230000.0,0.0,1,1.0,1
7,1,63.0,,,270000.0,0.0,1,1.0,1
7,1,189.0,,,330000.0,0.0,1,1.0,1
4,1,120.0,80.0,20.0,330000.0,0.0,1,1.0,1
0,1,212.0,20.0,,350000.0,0.0,1,,1
12,1,111.0,88.0,,350000.0,0.0,1,1.0,1
7,1,92.0,,,350000.0,0.0,1,1.0,1
4,1,132.0,81.0,17.0,350000.0,0.0,1,1.0,1
5,1,202.0,,,360000.0,0.0,1,1.0,1
7,1,123.0,,,400000.0,0.0,1,1.0,1
10,1,130.0,,,450000.0,0.0,1,1.0,1
15,1,180.0,,,450000.0,0.0,1,1.0,1
4,1,220.0,40.0,,450000.0,0.0,1,1.0,1
6,1,180.0,144.0,14.0,450000.0,0.0,1,1.0,1
15,1,206.0,111.0,13.0,470000.0,0.0,1,2.0,1
6,1,215.0,,,500000.0,0.0,1,1.0,1
7,1,195.0,100.0,20.0,520000.0,0.0,1,1.0,1
4,1,186.0,120.0,25.0,590000.0,0.0,1,1.0,1
5,1,336.0,270.0,36.0,590000.0,0.0,1,1.0,1
4,1,380.0,223.0,43.0,650000.0,0.0,1,1.0,1
5,1,53.0,35.0,5.0,80000.0,0.0,1,1.0,1
10,1,53.0,36.0,10.0,80000.0,0.0,1,1.0,1
6,1,60.0,42.0,7.0,90000.0,0.0,1,1.0,1
9,1,30.0,,,95000.0,0.0,1,1.0,1
6,1,80.0,50.0,20.0,100000.0,0.0,1,1.0,1
5,1,68.0,30.0,25.0,100000.0,0.0,1,1.0,1
10,1,55.0,32.0,8.0,105000.0,0.0,1,1.0,1
2,1,55.0,33.0,9.0,110000.0,0.0,1,1.0,1
9,1,103.0,,,120000.0,0.0,1,1.0,1
10,1,80.0,53.0,10.0,120000.0,0.0,1,1.0,1
5,1,65.0,44.0,8.0,130000.0,0.0,1,1.0,1
5,1,98.0,46.0,13.0,135000.0,0.0,1,1.0,1
9,1,40.0,32.0,7.0,135000.0,0.0,1,1.0,1
9,1,89.4,45.6,,135000.0,0.0,1,1.0,1
6,1,90.0,,,145000.0,0.0,1,1.0,1
5,1,90.0,61.0,8.0,150000.0,0.0,1,1.0,1
6,1,100.0,60.0,12.0,150000.0,0.0,1,1.0,1
9,1,43.3,,,150000.0,0.0,1,1.0,1
8,1,110.0,68.0,10.0,160000.0,0.0,1,1.0,1
7,1,120.0,86.0,10.0,165000.0,0.0,1,1.0,1
6,1,117.0,80.0,12.0,170000.0,0.0,1,1.0,1
10,1,120.0,54.0,34.0,180000.0,0.0,1,1.0,1
10,1,96.0,64.0,8.0,180000.0,0.0,1,1.0,1
8,1,120.0,71.0,15.0,190000.0,0.0,1,1.0,1
9,1,120.0,,,195000.0,0.0,1,1.0,1
10,1,75.0,48.0,8.0,200000.0,0.0,1,1.0,1
5,1,99.0,,,200000.0,0.0,1,1.0,1
10,1,130.0,78.0,15.0,220000.0,0.0,1,1.0,1
0,1,120.0,,,230000.0,0.0,1,,1
7,1,105.0,,,250000.0,0.0,1,1.0,1
9,1,115.0,81.0,14.0,250000.0,0.0,1,1.0,1
7,1,165.0,100.0,10.0,250000.0,0.0,1,1.0,1
0,1,65.0,8.0,,270000.0,0.0,1,,1
20,1,76.0,40.0,9.0,270000.0,0.0,1,1.0,1
4,1,126.0,,,300000.0,0.0,1,1.0,1
10,1,124.0,79.0,22.0,300000.0,0.0,1,1.0,1
5,1,130.0,100.0,20.0,330000.0,0.0,1,1.0,1
5,1,190.0,113.0,11.0,330000.0,0.0,1,1.0,1
4,1,178.0,,,350000.0,0.0,1,1.0,1
15,1,135.0,90.0,10.0,350000.0,0.0,1,1.0,1
0,1,130.0,90.0,25.0,350000.0,0.0,1,1.0,1
10,1,212.0,165.0,10.0,350000.0,0.0,1,1.0,1
0,1,178.0,25.0,,350000.0,0.0,1,1.0,1
5,1,201.0,160.0,15.0,360000.0,0.0,1,1.0,1
9,1,181.0,120.0,25.0,370000.0,0.0,1,1.0,1
15,1,123.6,98.0,,400000.0,0.0,1,1.0,1
8,1,129.0,,,400000.0,0.0,1,1.0,1
7,1,176.0,112.0,,400000.0,0.0,1,1.0,1
9,1,190.0,,,400000.0,0.0,1,1.0,1
7,1,180.0,86.0,14.0,450000.0,0.0,1,1.0,1
0,1,247.0,127.0,15.0,500000.0,0.0,1,,1
2,1,110.0,,,500000.0,0.0,1,1.0,1
7,1,180.0,123.0,4.0,500000.0,0.0,1,1.0,1
8,1,300.0,141.0,14.0,500000.0,0.0,1,1.0,1
9,1,190.0,,,500000.0,0.0,1,1.0,1
9,1,180.0,150.0,20.0,500000.0,0.0,1,1.0,1
6,1,209.0,,,550000.0,0.0,1,1.0,1
6,1,173.1,,,550000.0,0.0,1,1.0,1
7,1,336.0,180.0,33.0,590000.0,0.0,1,1.0,1
4,1,190.0,120.0,25.0,600000.0,0.0,1,1.0,1
6,1,258.0,161.0,6.0,600000.0,0.0,1,1.0,1
4,0,76.0,44.8,12.9,60000.0,0.0,1,1.0,1
25,0,35.3,14.0,14.0,36000.0,0.0,1,1.0,1
25,0,71.7,34.5,20.0,55000.0,0.0,1,1.0,1
20,1,41.2,,,36000.0,0.0,1,1.0,1
10,1,70.0,45.0,12.0,65000.0,0.0,1,1.0,1
4,0,40.0,20.0,8.0,30000.0,0.0,1,1.0,1
4,0,57.0,34.0,10.0,45000.0,0.0,1,1.0,1
20,1,42.0,18.0,10.0,35000.0,0.0,1,1.0,1
0,1,68.0,42.0,13.0,48000.0,0.0,1,1.0,1
11,1,82.0,,,55000.0,0.0,1,1.0,1
10,0,41.0,20.0,9.0,29999.0,0.0,1,1.0,1
4,0,37.0,15.0,10.0,38000.0,0.0,1,1.0,1
14,0,87.0,48.0,11.0,80000.0,0.0,1,1.0,1
11,0,84.0,15.0,,95000.0,0.0,1,1.0,1
7,0,38.0,18.0,9.0,28000.0,0.0,1,1.0,1
20,1,38.0,19.8,8.5,28000.0,0.0,1,1.0,1
11,0,35.0,18.0,10.0,29000.0,0.0,1,1.0,1
15,0,30.0,15.0,8.0,30000.0,0.0,1,1.0,1
20,1,38.0,19.0,8.0,30000.0,0.0,1,1.0,1
20,1,40.0,20.0,10.0,30000.0,0.0,1,1.0,1
20,1,38.0,18.0,8.5,30000.0,0.0,1,1.0,1
8,1,38.0,18.0,10.0,32000.0,0.0,1,1.0,1
20,1,42.4,18.0,10.5,32000.0,0.0,1,1.0,1
12,1,44.7,21.7,13.0,35000.0,0.0,1,1.0,1
22,1,58.0,33.0,10.0,36000.0,0.0,1,1.0,1
10,0,36.0,15.0,,38000.0,0.0,1,1.0,1
19,1,42.0,20.0,10.0,38000.0,0.0,1,1.0,1
0,0,41.2,8.5,,40000.0,0.0,1,,1
15,1,64.0,9.0,,40000.0,0.0,1,1.0,1
10,1,55.0,31.0,8.0,40000.0,0.0,1,,1
7,0,35.0,16.0,9.0,40000.0,0.0,1,1.0,1
10,1,63.8,34.0,10.0,40000.0,0.0,1,1.0,1
19,1,67.0,12.0,,43000.0,0.0,1,1.0,1
0,1,38.8,,,45000.0,0.0,1,1.0,1
15,0,56.0,42.0,8.0,45000.0,0.0,1,1.0,1
9,1,75.0,40.0,12.0,45000.0,0.0,1,1.0,1
17,1,55.0,30.0,9.0,47000.0,0.0,1,1.0,1
18,1,82.0,52.0,11.0,65000.0,0.0,1,1.0,1
10,0,70.0,50.0,10.0,70000.0,0.0,1,1.0,1
15,1,40.0,20.0,10.0,26000.0,0.0,1,1.0,1
5,0,31.0,18.0,6.0,27000.0,0.0,1,1.0,1
5,0,35.0,16.0,10.0,29000.0,0.0,1,1.0,1
14,1,27.0,16.0,8.0,30000.0,0.0,1,1.0,1
10,0,40.0,20.0,9.0,30000.0,0.0,1,1.0,1
0,1,41.0,20.0,12.0,30000.0,0.0,1,1.0,1
13,1,32.0,20.0,6.0,30000.0,0.0,1,1.0,1
4,0,45.0,18.0,10.0,30000.0,0.0,1,1.0,1
0,1,38.0,18.0,10.0,32000.0,0.0,1,1.0,1
8,1,42.0,21.0,10.0,33000.0,0.0,1,1.0,1
18,1,39.0,20.0,9.0,33500.0,0.0,1,1.0,1
23,1,38.5,,,34000.0,0.0,1,1.0,1
8,0,46.0,20.0,14.0,38000.0,0.0,1,1.0,1
10,0,34.0,22.0,5.0,40000.0,0.0,1,1.0,1
27,1,44.0,12.0,,40000.0,0.0,1,1.0,1
17,1,38.0,20.0,9.0,40000.0,0.0,1,1.0,1
11,0,55.4,,,44000.0,0.0,1,1.0,1
14,1,29.0,,,45000.0,0.0,1,1.0,1
24,1,57.0,32.9,10.2,47000.0,0.0,1,1.0,1
17,1,38.0,,,49000.0,0.0,1,1.0,1
15,1,44.0,,,54500.0,0.0,1,1.0,1
9,1,70.0,,,71000.0,0.0,1,1.0,1
6,0,87.0,48.0,11.0,80000.0,0.0,1,1.0,1
6,0,84.0,40.0,32.0,90000.0,0.0,1,1.0,1
19,1,77.0,,,92000.0,0.0,1,1.0,1
35,1,84.0,50.0,20.0,95000.0,0.0,1,1.0,1
15,1,96.0,55.0,13.0,100000.0,0.0,1,1.0,1
23,1,60.0,35.0,10.0,46000.0,0.0,1,1.0,1
0,1,38.0,19.0,11.0,32000.0,0.0,1,1.0,1
4,0,65.0,,,45000.0,0.0,1,2.0,1
5,0,43.0,18.0,12.0,38000.0,0.0,1,1.0,1
15,0,26.0,5.0,,23000.0,0.0,1,1.0,0
9,1,36.4,14.5,10.0,34000.0,0.0,1,1.0,1
17,1,38.0,7.5,,35000.0,0.0,1,1.0,1
15,0,30.5,22.0,6.0,35000.0,0.0,1,1.0,1
3,0,38.5,,,35000.0,0.0,1,1.0,1
15,0,50.0,38.0,9.0,38000.0,0.0,1,1.0,1
9,0,52.0,32.0,10.0,42000.0,0.0,1,1.0,1
15,1,40.0,12.0,19.0,43000.0,0.0,1,1.0,1
14,1,29.0,,,45000.0,0.0,1,1.0,1
22,1,56.0,30.0,10.0,45000.0,0.0,1,1.0,1
19,1,54.0,25.0,10.0,45000.0,0.0,1,1.0,1
12,1,64.0,38.0,12.0,49700.0,0.0,1,1.0,1
11,1,48.1,25.0,,50000.0,0.0,1,1.0,1
5,1,124.0,,,100000.0,0.0,1,1.0,1
