id,ceiling_height,metro_minutes,metro_walking,total_area,living_area,kitchen_area,price,utilities_amount,utilities_included,prepayment_months,is_long_rental_term,rooms_count,types_room,floor,house_floor,house_type,parking,renovation,count_loggia,count_balcony,view_of_courtyard,view_of_street,combined_bathroom_count,separate_bathroom_count,is_child,is_pet,room_furniture,kitchen_furniture,bath,shower_cabin,washing_machine,air_conditioner,dishwasher,tv,fridge,internet,telephone,count_passenger_lift,count_freight_lift,is_garbage_chute
274849101,,5,1,190.0,,,590000.0,0.0,1,1.0,1,4.0,,4,5,,,3.0,,,,,,,,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,,,
274391259,3.3,5,1,186.0,158.0,20.0,190000.0,0.0,1,1.0,1,5.0,,3,3,7.0,1.0,2.0,,,1.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,,1.0
272945376,3.2,5,1,100.0,61.0,16.0,200000.0,0.0,1,1.0,1,3.0,", Оба варианта",3,8,,0.0,2.0,,,1.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,
272612966,,11,1,150.0,139.0,9.0,200000.0,0.0,1,1.0,1,5.0,,4,7,,,2.0,0.0,1.0,1.0,0.0,2.0,0.0,,,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,
271568490,,7,1,140.0,123.0,15.0,300000.0,0.0,1,1.0,1,5.0,,2,7,,,3.0,,,0.0,1.0,,,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,
264664760,,15,1,132.8,106.0,,400000.0,0.0,1,1.0,1,3.0,,5,13,9.0,,2.0,,,,,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,
273353104,3.15,7,1,112.0,,,350000.0,0.0,1,1.0,1,3.0,,3,13,8.0,4.0,,,,,,0.0,2.0,,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,,,1.0
273353103,3.15,7,1,91.0,,,400000.0,0.0,1,1.0,1,2.0,,10,13,8.0,4.0,,,,,,0.0,2.0,,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,,,1.0
268321690,,11,1,135.0,100.0,7.0,400000.0,0.0,1,1.0,1,3.0,,5,13,8.0,4.0,3.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,
269496185,3.2,3,1,190.0,112.0,12.0,590000.0,0.0,1,1.0,1,4.0,,4,5,8.0,4.0,3.0,,,1.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
272188531,4.15,15,1,44.0,,,135000.0,0.0,1,1.0,1,2.0,,21,26,,,,,,,,0.0,1.0,,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,,,1.0
272727784,,0,1,85.0,68.0,,150000.0,0.0,1,1.0,1,3.0,,7,7,,,2.0,0.0,1.0,,,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,
267110043,3.0,7,1,100.0,,,320000.0,0.0,1,1.0,1,2.0,,5,7,8.0,,,0.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
265323319,3.15,7,1,133.3,,,400000.0,0.0,1,1.0,1,3.0,,5,13,8.0,4.0,,,,,,0.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,,,1.0
265804792,3.8,7,1,210.0,,,400000.0,0.0,1,1.0,1,4.0,,3,5,,,,0.0,1.0,1.0,1.0,0.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,,,1.0
239000408,,9,1,180.0,,,450000.0,0.0,1,1.0,1,4.0,,4,4,,,,,,,,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,,,1.0
271209314,3.35,5,1,165.0,,,470000.0,0.0,1,1.0,1,4.0,,9,16,8.0,,,,,,,0.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
269889430,4.05,6,1,190.0,,,590000.0,0.0,1,1.0,1,4.0,,4,6,,,,,,,,0.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,,,1.0
272823500,,7,1,85.0,,,150000.0,0.0,1,1.0,1,3.0,", Изолированная",7,7,5.0,4.0,2.0,0.0,1.0,,,1.0,0.0,,,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,
274402813,,5,1,105.0,70.0,15.0,195000.0,0.0,1,1.0,1,3.0,,6,17,8.0,4.0,2.0,,,1.0,1.0,3.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,,,
270190788,,5,1,134.0,,,300000.0,0.0,1,1.0,1,3.0,", Оба варианта",8,16,9.0,4.0,2.0,0.0,1.0,,,0.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,
271265359,3.2,5,1,60.0,43.0,10.0,90000.0,0.0,1,1.0,1,2.0,", Оба варианта",5,6,,0.0,2.0,,,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,
274289253,,7,1,85.0,,,150000.0,0.0,1,1.0,1,3.0,,7,7,,,3.0,0.0,1.0,,,,,,,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,,,
274150874,,4,1,150.0,,,250000.0,0.0,1,1.0,1,5.0,,4,6,,,3.0,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,,
274849686,3.2,5,1,142.0,81.0,17.0,350000.0,0.0,1,1.0,1,4.0,", Оба варианта",12,13,,4.0,2.0,,,1.0,1.0,2.0,0.0,,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,
274315381,,6,1,222.0,205.0,10.0,450000.0,0.0,1,1.0,1,5.0,,7,9,,,2.0,1.0,0.0,0.0,1.0,,,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,
273779074,3.6,7,1,60.0,40.0,11.0,120000.0,0.0,1,1.0,1,2.0,,3,6,5.0,,,,,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,
274217247,3.8,8,1,103.0,74.0,16.0,120000.0,0.0,1,1.0,1,3.0,,2,3,5.0,,,,,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,,,
272156997,3.2,5,1,170.0,,,175000.0,0.0,1,1.0,1,5.0,,5,5,5.0,0.0,2.0,,,1.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,
274617827,,8,1,200.0,150.0,30.0,190000.0,0.0,1,1.0,1,5.0,,3,3,5.0,,2.0,,,1.0,0.0,,,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,,,
274252871,3.0,5,1,105.0,60.0,18.0,240000.0,0.0,1,1.0,1,3.0,,6,17,9.0,4.0,,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0
269132104,3.0,10,1,60.0,30.0,10.0,250000.0,0.0,1,1.0,1,1.0,,2,12,8.0,4.0,2.0,,,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
273911217,,6,1,155.0,97.0,14.0,250000.0,0.0,1,1.0,1,5.0,,4,6,,,3.0,,,0.0,1.0,,,,,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,
269716469,3.0,5,1,134.0,95.0,7.0,300000.0,0.0,1,1.0,1,3.0,,8,16,8.0,4.0,2.0,,,1.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
274137125,,0,1,214.6,,,500000.0,0.0,1,,1,5.0,,3,13,,4.0,3.0,,,1.0,1.0,4.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,
274140104,3.2,5,1,204.0,109.0,23.0,500000.0,0.0,1,1.0,1,5.0,", Оба варианта",2,14,9.0,0.0,,,,1.0,0.0,4.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,
271258034,,9,1,180.0,123.0,4.0,500000.0,0.0,1,1.0,1,5.0,,7,8,,,2.0,1.0,0.0,1.0,0.0,,,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,
274199925,,0,1,100.0,68.0,12.0,115000.0,0.0,1,1.0,1,3.0,,2,3,,,,,,1.0,0.0,,,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,,,
274223065,,8,1,60.0,40.0,11.0,120000.0,0.0,1,1.0,1,2.0,,3,6,,,3.0,,,0.0,1.0,,,,,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,,
271264562,3.2,5,1,170.0,104.0,21.0,175000.0,0.0,1,1.0,1,5.0,,5,5,7.0,0.0,2.0,,,1.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
272632345,3.0,6,1,98.0,8.0,,185000.0,0.0,1,1.0,1,3.0,,6,6,5.0,,,,,,,0.0,1.0,,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
274018110,3.1,5,1,175.0,16.0,,200000.0,0.0,1,1.0,1,2.0,,3,9,8.0,4.0,,,,,,0.0,2.0,,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0
274029603,,5,1,180.0,112.0,12.0,350000.0,0.0,1,1.0,1,4.0,", Оба варианта",3,4,5.0,,2.0,,,1.0,1.0,3.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,
274548856,,6,1,132.0,82.0,17.0,350000.0,0.0,1,1.0,1,4.0,,12,13,8.0,4.0,3.0,,,1.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,
271766412,,4,1,228.0,159.0,30.0,400000.0,0.0,1,1.0,1,6.0,,3,6,,,2.0,0.0,1.0,1.0,0.0,2.0,0.0,,,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,
269165004,4.2,2,1,92.3,10.8,,470000.0,0.0,1,1.0,1,3.0,,3,7,8.0,3.0,,,,,,0.0,2.0,,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
274105576,3.2,5,1,204.0,122.0,10.0,500000.0,0.0,1,1.0,1,5.0,", Оба варианта",2,13,,4.0,2.0,0.0,1.0,1.0,1.0,4.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,
274528249,,3,1,45.0,38.0,,120000.0,0.0,1,1.0,1,1.0,,6,7,5.0,0.0,3.0,0.0,1.0,,,1.0,0.0,,,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,
274431438,3.2,3,1,65.0,49.0,9.0,130000.0,0.0,1,1.0,1,3.0,", Оба варианта",7,7,,0.0,2.0,,,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,
274064272,,5,1,87.0,68.0,7.0,140000.0,0.0,1,1.0,1,3.0,", Изолированная",4,7,5.0,,2.0,,,1.0,1.0,0.0,1.0,,,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0
