id,ceiling_height,metro_minutes,metro_walking,total_area,living_area,kitchen_area,price,utilities_amount,utilities_included,prepayment_months,is_long_rental_term,ceiling_height_known,rooms_count,types_room,floor,house_floor,house_type,parking,renovation,count_loggia,count_balcony,view_of_courtyard,view_of_street,combined_bathroom_count,separate_bathroom_count,is_child,is_pet,room_furniture,kitchen_furniture,bath,shower_cabin,washing_machine,air_conditioner,dishwasher,tv,fridge,internet,telephone,count_passenger_lift,count_freight_lift,is_garbage_chute,living_area_known,kitchen_area_known
274391259,3.3,5,1,186.0,158.0,20.0,190000.0,0.0,1,1.0,1,1,5.0,,3,3,7.0,1.0,2.0,,,1.0,1.0,2.0,0.0,1,1,1,1,1,1.0,1,1.0,1.0,1.0,1,1,0,0.0,0.0,0.0,1,1
272945376,3.2,5,1,100.0,50.0,10.0,200000.0,0.0,1,1.0,1,1,3.0,", Оба варианта",3,8,,0.0,2.0,,,1.0,1.0,2.0,0.0,1,1,1,1,1,1.0,1,1.0,1.0,1.0,1,1,1,1.0,0.0,,1,1
272612966,2.64,11,1,150.0,103.0,18.0,200000.0,0.0,1,1.0,1,0,5.0,,4,7,,,2.0,0.0,1.0,1.0,0.0,2.0,0.0,0,0,1,1,0,1.0,1,1.0,1.0,1.0,1,1,0,1.0,0.0,,1,1
271568490,2.64,7,1,140.0,103.0,18.0,300000.0,0.0,1,1.0,1,0,5.0,,2,7,,,3.0,,,0.0,1.0,1.0,0.0,1,0,1,1,0,0.0,1,0.0,1.0,1.0,1,1,0,1.0,0.0,,1,1
264664760,2.64,15,1,132.8,106.0,15.0,400000.0,0.0,1,1.0,1,0,3.0,,5,13,9.0,,2.0,,,,,2.0,0.0,1,1,1,1,1,1.0,1,1.0,1.0,1.0,1,1,1,1.0,1.0,0.0,1,0
273353104,3.15,7,1,112.0,58.0,14.0,350000.0,0.0,1,1.0,1,1,3.0,,3,13,8.0,4.0,,,,,,0.0,2.0,0,0,1,1,1,1.0,1,0.0,1.0,1.0,1,1,1,1.0,1.0,0.0,0,0
273353103,3.15,7,1,91.0,34.0,12.0,400000.0,0.0,1,1.0,1,1,2.0,,10,13,8.0,4.0,,,,,,0.0,2.0,0,0,1,1,1,1.0,1,0.0,1.0,1.0,1,1,1,1.0,1.0,0.0,0,0
268321690,2.64,11,1,135.0,100.0,7.0,400000.0,0.0,1,1.0,1,0,3.0,,5,13,8.0,4.0,3.0,,,1.0,1.0,1.0,1.0,1,1,1,1,0,0.0,1,0.0,0.0,1.0,1,0,0,2.0,1.0,0.0,1,1
269496185,3.2,3,1,190.0,112.0,12.0,590000.0,0.0,1,1.0,1,1,4.0,,4,5,8.0,4.0,3.0,,,1.0,1.0,2.0,0.0,1,0,1,1,1,1.0,1,1.0,1.0,1.0,1,1,0,1.0,1.0,0.0,1,1
272188531,2.64,15,1,44.0,31.0,9.0,135000.0,0.0,1,1.0,1,1,2.0,,21,26,,,,,,,,0.0,1.0,0,0,1,1,1,1.0,1,0.0,1.0,1.0,1,1,1,1.0,1.0,,0,0
272727784,2.64,8,1,85.0,50.0,10.0,150000.0,0.0,1,1.0,1,0,3.0,,7,7,,,2.0,0.0,1.0,,,1.0,0.0,1,1,1,1,1,1.0,1,1.0,1.0,1.0,1,1,1,1.0,0.0,,1,0
