id,ceiling_height_known,rooms_count,floor,house_floor,house_type,parking,renovation,count_loggia,count_balcony,view_of_courtyard,view_of_street,combined_bathroom_count,separate_bathroom_count,is_child,is_pet,room_furniture,kitchen_furniture,bath,shower_cabin,washing_machine,air_conditioner,dishwasher,tv,fridge,internet,telephone,count_passenger_lift,count_freight_lift,is_garbage_chute,living_area_known,kitchen_area_known,is_isolated,is_adjacent,house_type_known,renovation_known
273353104,1,3.0,3,13,8.0,4.0,2.0,1.0,1.0,1.0,0.0,0.0,2.0,0,0,1,1,1,1.0,1,0.0,1.0,1.0,1,1,1,1.0,1.0,0,0,0,1.0,1.0,1,1
273353103,1,2.0,10,13,8.0,4.0,2.0,1.0,1.0,0.0,1.0,0.0,2.0,0,0,1,1,1,1.0,1,0.0,1.0,1.0,1,1,1,1.0,1.0,0,0,0,1.0,1.0,1,1
268321690,0,3.0,5,13,8.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,0,0.0,1,0.0,0.0,1.0,1,0,0,2.0,1.0,0,1,1,1.0,1.0,1,1
269496185,1,4.0,4,5,8.0,4.0,3.0,1.0,1.0,1.0,1.0,2.0,0.0,1,0,1,1,1,1.0,1,1.0,1.0,1.0,1,1,0,1.0,1.0,0,1,1,1.0,1.0,1,1
272188531,1,2.0,21,26,9.0,4.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0,0,1,1,1,1.0,1,0.0,1.0,1.0,1,1,1,1.0,1.0,0,0,0,1.0,1.0,0,1
272727784,0,3.0,7,7,5.0,4.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,1,1,1,1,1,1.0,1,1.0,1.0,1.0,1,1,1,1.0,0.0,1,1,0,1.0,1.0,0,1
267110043,1,2.0,5,7,8.0,4.0,2.0,0.0,1.0,0.0,1.0,0.0,2.0,1,0,1,1,1,1.0,1,0.0,1.0,1.0,1,1,1,1.0,1.0,0,0,0,1.0,1.0,1,1
265323319,1,3.0,5,13,8.0,4.0,2.0,1.0,1.0,1.0,0.0,0.0,2.0,1,0,1,1,1,1.0,1,0.0,1.0,1.0,1,1,1,1.0,1.0,0,0,0,1.0,1.0,1,1
265804792,1,4.0,3,5,5.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,3.0,0,1,1,1,1,1.0,1,0.0,1.0,1.0,1,1,1,0.0,0.0,1,0,0,1.0,1.0,0,1
239000408,0,4.0,4,4,5.0,4.0,2.0,0.0,1.0,1.0,0.0,0.0,2.0,1,1,1,1,1,1.0,1,0.0,1.0,1.0,1,1,1,0.0,0.0,0,0,0,1.0,1.0,0,1
271209314,1,4.0,9,16,8.0,4.0,2.0,1.0,1.0,0.0,1.0,0.0,2.0,0,1,1,1,1,1.0,1,0.0,1.0,1.0,1,1,1,1.0,1.0,0,0,0,1.0,1.0,1,1
269889430,1,4.0,4,6,5.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,2.0,0,1,1,1,1,1.0,1,0.0,1.0,1.0,1,1,1,1.0,0.0,1,0,0,1.0,1.0,0,1
272823500,0,3.0,7,7,5.0,4.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,1,1,0,0.0,1,0.0,1.0,1.0,1,1,1,1.0,0.0,1,0,0,1.0,1.0,1,1
274402813,0,3.0,6,17,8.0,4.0,2.0,1.0,1.0,1.0,1.0,3.0,0.0,1,1,1,1,0,0.0,1,0.0,0.0,1.0,1,0,1,1.0,1.0,1,1,1,1.0,1.0,1,1
270190788,0,3.0,8,16,9.0,4.0,2.0,0.0,1.0,0.0,1.0,0.0,2.0,1,1,1,1,0,0.0,1,0.0,1.0,1.0,1,1,1,1.0,0.0,0,0,0,1.0,1.0,1,1
271265359,1,2.0,5,6,5.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,1,0,1,1,1,1.0,1,1.0,1.0,1.0,1,1,1,1.0,0.0,1,1,1,0.0,0.0,0,1
274289253,0,3.0,7,7,5.0,4.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,1,1,1,0.0,0,1.0,0.0,1.0,1,0,0,1.0,0.0,1,0,0,1.0,1.0,0,1
274150874,0,5.0,4,6,5.0,4.0,3.0,0.0,1.0,1.0,0.0,1.0,0.0,0,0,1,1,1,1.0,1,1.0,1.0,1.0,1,0,0,1.0,0.0,1,0,0,1.0,1.0,0,1
274849686,1,4.0,12,13,9.0,4.0,2.0,0.0,1.0,1.0,1.0,2.0,0.0,0,0,1,1,1,1.0,1,0.0,1.0,1.0,1,1,1,1.0,0.0,0,1,1,1.0,1.0,0,1
274315381,0,5.0,7,9,0.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,1,1,1,1,0,0.0,1,1.0,1.0,1.0,1,1,0,1.0,0.0,1,1,1,1.0,1.0,0,1
273779074,1,2.0,3,6,5.0,4.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,1,1,1,0,1,0.0,1,1.0,1.0,0.0,0,1,0,1.0,0.0,1,1,1,1.0,1.0,1,1
274217247,1,3.0,2,3,5.0,4.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,1,0,0,0,1,0.0,1,1.0,1.0,0.0,0,1,0,0.0,0.0,0,1,1,1.0,1.0,1,1
272156997,1,5.0,5,5,5.0,0.0,2.0,0.0,1.0,1.0,0.0,2.0,0.0,1,1,1,1,1,1.0,1,1.0,1.0,1.0,1,1,1,1.0,0.0,1,0,0,1.0,1.0,1,1
274617827,0,5.0,3,3,5.0,4.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,1,1,0,1,0,0.0,1,0.0,0.0,1.0,1,0,1,0.0,0.0,0,1,1,1.0,1.0,1,1
274252871,1,3.0,6,17,9.0,4.0,2.0,1.0,0.0,1.0,1.0,2.0,1.0,1,1,1,1,1,1.0,1,1.0,1.0,1.0,1,1,0,2.0,1.0,0,1,1,1.0,1.0,1,1
269132104,1,1.0,2,12,8.0,4.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,1,0,1,1,1,0.0,1,1.0,1.0,1.0,1,1,0,1.0,1.0,0,1,1,0.0,0.0,1,1
273911217,0,5.0,4,6,5.0,4.0,3.0,0.0,1.0,0.0,1.0,1.0,0.0,0,0,1,1,0,1.0,1,1.0,1.0,1.0,1,1,0,1.0,0.0,1,1,1,1.0,1.0,0,1
269716469,1,3.0,8,16,8.0,4.0,2.0,1.0,1.0,1.0,1.0,2.0,0.0,1,1,1,1,1,1.0,1,0.0,1.0,1.0,1,1,0,1.0,1.0,0,1,1,1.0,1.0,1,1
274137125,0,5.0,3,13,9.0,4.0,3.0,0.0,1.0,1.0,1.0,4.0,0.0,1,1,1,1,1,1.0,1,1.0,1.0,1.0,1,1,1,1.0,0.0,0,0,0,1.0,1.0,0,1
274140104,1,5.0,2,14,9.0,0.0,2.0,2.0,0.0,1.0,0.0,4.0,0.0,1,1,0,0,1,1.0,1,1.0,1.0,0.0,0,1,0,1.0,1.0,0,1,1,1.0,1.0,1,1
271258034,0,5.0,7,8,5.0,4.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,1,0,1,1,0,1.0,1,1.0,1.0,1.0,1,1,0,1.0,0.0,1,1,1,1.0,1.0,0,1
274199925,0,3.0,2,3,5.0,4.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,1,0,1,1,0,0.0,1,0.0,0.0,0.0,1,0,1,0.0,0.0,0,1,1,1.0,1.0,0,1
274223065,0,2.0,3,6,5.0,0.0,3.0,0.0,1.0,0.0,1.0,1.0,0.0,0,0,1,1,0,1.0,1,1.0,1.0,1.0,1,1,0,1.0,0.0,1,1,1,1.0,1.0,0,1
271264562,1,5.0,5,5,7.0,0.0,2.0,0.0,1.0,1.0,1.0,2.0,0.0,1,1,0,1,0,1.0,1,1.0,1.0,1.0,1,1,0,1.0,0.0,0,1,1,1.0,1.0,1,1
272632345,1,3.0,6,6,5.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0,0,0,1,1.0,0,0.0,0.0,0.0,0,1,0,1.0,0.0,1,1,0,1.0,1.0,1,1
274018110,1,2.0,3,9,8.0,4.0,2.0,1.0,1.0,1.0,0.0,0.0,2.0,0,0,0,0,1,1.0,0,0.0,0.0,0.0,0,1,0,1.0,1.0,0,1,0,1.0,1.0,1,1
274029603,0,4.0,3,4,5.0,1.0,2.0,0.0,1.0,1.0,1.0,3.0,0.0,1,0,1,1,1,1.0,1,1.0,1.0,1.0,1,1,0,1.0,0.0,0,1,1,1.0,1.0,1,1
274548856,0,4.0,12,13,8.0,4.0,3.0,1.0,1.0,1.0,0.0,2.0,0.0,1,1,1,1,0,0.0,1,0.0,0.0,1.0,1,0,0,2.0,2.0,0,1,1,1.0,1.0,1,1
271766412,0,6.0,3,6,5.0,4.0,2.0,0.0,1.0,1.0,0.0,2.0,0.0,0,0,0,1,0,1.0,1,0.0,1.0,1.0,1,1,0,1.0,0.0,1,1,1,1.0,1.0,0,1
269165004,1,3.0,3,7,8.0,3.0,2.0,1.0,1.0,1.0,0.0,0.0,2.0,0,0,1,1,1,1.0,1,0.0,1.0,1.0,1,1,0,1.0,1.0,0,1,0,1.0,1.0,1,1
274105576,1,5.0,2,13,9.0,4.0,2.0,0.0,1.0,1.0,1.0,4.0,0.0,1,1,1,1,1,1.0,1,1.0,1.0,1.0,1,1,1,1.0,0.0,0,1,1,1.0,1.0,0,1
274528249,0,1.0,6,7,5.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,1,1,0,1.0,1,1.0,1.0,1.0,1,1,1,1.0,0.0,1,1,0,0.0,0.0,1,1
274431438,1,3.0,7,7,5.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,1,1,1,1,1,1.0,1,1.0,1.0,1.0,1,1,1,1.0,0.0,1,1,1,1.0,1.0,0,1
274064272,0,3.0,4,7,5.0,4.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,0,0,1,1,1,0.0,1,1.0,1.0,0.0,1,1,0,1.0,0.0,1,1,1,1.0,1.0,1,1
273078340,1,3.0,7,12,5.0,1.0,3.0,0.0,1.0,1.0,1.0,1.0,0.0,1,1,1,1,1,0.0,1,1.0,1.0,1.0,1,1,0,2.0,0.0,1,1,1,1.0,1.0,1,1
274359655,0,4.0,3,4,5.0,4.0,2.0,0.0,1.0,1.0,0.0,0.0,3.0,0,0,0,1,0,0.0,1,0.0,1.0,1.0,1,1,0,1.0,0.0,0,0,0,1.0,1.0,1,1
272226556,0,4.0,2,3,5.0,1.0,3.0,0.0,1.0,1.0,0.0,1.0,0.0,1,0,1,1,1,1.0,1,1.0,1.0,1.0,1,0,0,0.0,0.0,0,0,0,1.0,1.0,0,1
274319903,0,3.0,9,10,5.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1,1,1,1,0,0.0,1,0.0,0.0,1.0,1,1,0,1.0,1.0,1,1,1,1.0,1.0,1,1
273427928,0,3.0,3,7,5.0,4.0,3.0,0.0,1.0,0.0,1.0,1.0,0.0,1,0,1,1,0,0.0,1,0.0,0.0,1.0,0,0,0,1.0,0.0,1,1,1,1.0,1.0,1,1
274296188,1,3.0,9,9,5.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0,1,0,1,1,1,0.0,1,1.0,1.0,1.0,1,1,0,1.0,0.0,1,1,1,1.0,1.0,1,1
272887177,1,3.0,3,9,5.0,4.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0,1,0,1,0,1,1.0,1,1.0,1.0,0.0,0,1,0,1.0,1.0,1,1,1,1.0,1.0,1,1
269319175,1,1.0,2,11,9.0,4.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,1,0,1,0,1,0.0,1,1.0,0.0,0.0,0,1,0,2.0,0.0,0,1,1,0.0,0.0,1,1
269687656,0,4.0,4,6,5.0,0.0,2.0,0.0,1.0,1.0,0.0,2.0,0.0,0,0,1,1,0,1.0,1,1.0,1.0,1.0,1,1,0,1.0,0.0,1,1,1,1.0,1.0,0,1
274501292,0,3.0,3,5,5.0,0.0,3.0,0.0,1.0,1.0,1.0,2.0,0.0,1,1,1,1,1,0.0,0,0.0,0.0,0.0,0,0,0,1.0,0.0,1,0,0,1.0,1.0,0,1
261980888,1,3.0,5,13,9.0,4.0,2.0,2.0,0.0,1.0,0.0,2.0,0.0,1,0,1,0,1,1.0,1,1.0,1.0,0.0,0,1,0,2.0,2.0,0,1,1,1.0,1.0,1,1
272567246,0,4.0,2,4,8.0,4.0,2.0,0.0,1.0,1.0,0.0,3.0,0.0,1,1,1,1,0,0.0,1,0.0,0.0,1.0,1,0,0,1.0,0.0,0,1,1,1.0,1.0,1,1
274930877,0,4.0,5,9,9.0,4.0,2.0,1.0,0.0,1.0,0.0,2.0,1.0,0,0,0,0,1,1.0,1,1.0,1.0,0.0,0,1,0,1.0,0.0,0,1,1,1.0,1.0,1,1
273576298,0,3.0,3,8,5.0,4.0,2.0,0.0,1.0,1.0,0.0,2.0,0.0,1,0,1,0,1,1.0,1,0.0,0.0,0.0,0,1,0,1.0,0.0,1,1,1,1.0,1.0,1,1
271108834,1,5.0,7,7,8.0,4.0,3.0,0.0,1.0,1.0,1.0,2.0,1.0,1,0,1,1,1,1.0,1,1.0,1.0,1.0,1,1,0,1.0,0.0,0,1,1,1.0,1.0,1,1
256631457,1,4.0,7,7,5.0,0.0,2.0,0.0,1.0,1.0,1.0,2.0,0.0,1,0,0,0,1,1.0,1,1.0,1.0,0.0,0,1,0,1.0,1.0,1,1,1,1.0,1.0,1,1
271988698,0,3.0,10,16,9.0,4.0,3.0,2.0,0.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1.0,1,1.0,1.0,1.0,1,1,1,4.0,0.0,0,0,0,1.0,1.0,1,1
274066192,0,2.0,11,24,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1,0,1,0,1,0.0,1,1.0,1.0,0.0,0,1,0,1.0,1.0,1,1,1,1.0,1.0,1,1
273763131,0,3.0,9,10,9.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0,0,1,1,0,0.0,1,0.0,1.0,1.0,1,1,0,1.0,0.0,0,0,0,1.0,1.0,0,1
273684904,0,2.0,7,16,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1,1,1,0,1,0.0,1,1.0,1.0,0.0,0,1,0,1.0,1.0,1,1,1,1.0,1.0,1,1
271542995,1,3.0,5,6,7.0,0.0,2.0,0.0,2.0,1.0,0.0,1.0,0.0,0,0,1,0,1,1.0,1,1.0,1.0,0.0,0,1,0,1.0,0.0,0,1,1,1.0,1.0,1,1
273012299,1,2.0,5,5,5.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,0,0,1,0,0,1.0,1,1.0,1.0,0.0,0,1,0,1.0,0.0,1,1,1,0.0,0.0,1,1
270282698,1,2.0,21,26,9.0,4.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,1,0,1,0,0,1.0,1,1.0,1.0,0.0,0,1,0,3.0,3.0,0,1,1,1.0,1.0,1,1
274336333,1,3.0,4,4,5.0,0.0,2.0,0.0,1.0,1.0,0.0,2.0,0.0,1,0,1,1,0,0.0,1,0.0,1.0,1.0,1,1,0,0.0,0.0,0,1,1,1.0,1.0,1,1
272244255,0,3.0,4,12,5.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0,0,1,0,1,0.0,1,0.0,0.0,0.0,0,1,0,1.0,1.0,1,1,0,1.0,1.0,1,1
272701749,1,2.0,4,4,7.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,0,0,1,0,0,1.0,1,1.0,1.0,0.0,0,1,0,0.0,0.0,0,1,1,1.0,1.0,1,1
271204399,0,5.0,5,5,5.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,0,0,1,1,0,1.0,1,0.0,1.0,1.0,1,1,0,1.0,0.0,1,1,1,1.0,1.0,0,1
274879736,1,3.0,4,6,7.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0,1,1,1,1,1,1.0,1,1.0,1.0,1.0,1,1,0,1.0,0.0,0,1,1,1.0,1.0,1,1
271827359,0,1.0,10,13,9.0,4.0,3.0,0.0,1.0,0.0,1.0,1.0,0.0,0,0,1,1,0,1.0,0,1.0,1.0,1.0,1,1,0,1.0,0.0,0,0,0,0.0,0.0,0,1
256631941,1,3.0,4,5,7.0,0.0,2.0,0.0,1.0,0.0,1.0,2.0,0.0,1,1,1,0,1,1.0,1,1.0,1.0,0.0,0,1,0,1.0,0.0,0,1,1,1.0,1.0,1,1
272917777,0,3.0,3,9,9.0,4.0,2.0,0.0,1.0,1.0,0.0,0.0,2.0,0,0,1,1,0,0.0,1,0.0,1.0,1.0,1,1,0,1.0,0.0,0,0,0,1.0,1.0,1,1
252536547,0,4.0,4,5,5.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,1,1,1,1,0,0.0,1,0.0,1.0,1.0,1,1,0,1.0,0.0,1,1,0,1.0,1.0,1,1
274434108,0,3.0,24,26,0.0,0.0,3.0,0.0,1.0,1.0,0.0,2.0,0.0,1,0,1,1,0,1.0,1,1.0,1.0,1.0,1,1,0,2.0,2.0,1,1,1,1.0,1.0,1,1
272559990,0,2.0,2,13,9.0,4.0,3.0,0.0,1.0,1.0,0.0,1.0,0.0,0,0,1,1,1,0.0,0,0.0,0.0,1.0,0,0,0,1.0,0.0,0,0,0,1.0,1.0,0,1
269465572,0,4.0,2,9,5.0,4.0,2.0,0.0,1.0,1.0,0.0,0.0,2.0,0,0,1,1,0,0.0,1,0.0,1.0,1.0,1,1,0,1.0,0.0,1,0,0,1.0,1.0,1,1
263779667,1,2.0,2,6,5.0,4.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,0,0,1,0,1,1.0,1,1.0,1.0,0.0,0,1,0,1.0,0.0,1,1,1,1.0,1.0,1,1
272128059,0,4.0,6,17,0.0,0.0,3.0,0.0,1.0,1.0,1.0,2.0,0.0,1,1,0,1,1,1.0,1,1.0,1.0,1.0,1,1,1,1.0,0.0,1,1,0,1.0,1.0,0,1
224335583,0,4.0,9,10,9.0,4.0,2.0,1.0,0.0,0.0,1.0,2.0,1.0,1,1,1,1,1,1.0,1,1.0,1.0,1.0,1,1,1,1.0,0.0,0,1,0,1.0,1.0,0,1
271627634,0,2.0,3,13,9.0,4.0,3.0,0.0,1.0,1.0,0.0,1.0,0.0,0,0,1,1,1,1.0,1,1.0,0.0,1.0,1,0,0,1.0,0.0,0,0,0,1.0,1.0,0,1
274700592,0,4.0,12,13,9.0,4.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0,0,1,1,0,1.0,1,1.0,1.0,1.0,1,1,0,1.0,0.0,0,1,1,1.0,1.0,0,1
273231375,0,4.0,3,6,5.0,1.0,3.0,0.0,1.0,1.0,0.0,1.0,0.0,0,0,1,1,1,1.0,1,1.0,0.0,1.0,1,0,0,1.0,0.0,1,0,0,1.0,1.0,0,1
271586905,0,2.0,7,13,9.0,4.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,1,1,1,1.0,0,1.0,1.0,1.0,1,0,0,1.0,0.0,0,0,0,1.0,1.0,0,1
274315960,0,3.0,3,7,5.0,1.0,3.0,0.0,1.0,1.0,0.0,1.0,0.0,1,0,1,1,1,1.0,1,1.0,1.0,1.0,1,0,0,1.0,0.0,1,0,0,1.0,1.0,0,1
272845144,0,3.0,6,9,0.0,1.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,1,1,1,1.0,1,1.0,1.0,1.0,1,0,0,1.0,0.0,1,0,0,1.0,1.0,0,1
274743086,0,5.0,4,9,9.0,4.0,2.0,0.0,1.0,1.0,1.0,2.0,1.0,1,1,1,1,1,1.0,1,1.0,1.0,1.0,1,1,0,4.0,0.0,0,1,0,1.0,1.0,1,1
271776317,0,4.0,6,11,9.0,4.0,2.0,0.0,1.0,1.0,0.0,2.0,0.0,1,1,1,1,0,1.0,1,1.0,1.0,1.0,1,1,0,1.0,0.0,0,1,1,1.0,1.0,0,1
267884643,1,4.0,3,9,8.0,4.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1,0,1,1,1,1.0,1,1.0,1.0,1.0,1,1,0,1.0,1.0,0,1,1,1.0,1.0,1,1
274252226,0,5.0,2,13,9.0,4.0,2.0,2.0,0.0,1.0,0.0,0.0,4.0,1,1,0,1,0,0.0,1,0.0,1.0,1.0,1,1,0,1.0,0.0,0,0,0,1.0,1.0,1,1
273970263,1,4.0,7,7,5.0,0.0,3.0,0.0,1.0,0.0,0.0,2.0,0.0,0,0,1,1,1,1.0,1,1.0,1.0,1.0,1,1,0,1.0,0.0,1,1,1,1.0,1.0,1,1
269515978,1,4.0,4,6,5.0,4.0,2.0,0.0,1.0,1.0,0.0,2.0,0.0,1,0,1,0,1,1.0,1,1.0,1.0,0.0,0,1,0,1.0,0.0,1,1,1,1.0,1.0,1,1
274009456,1,2.0,11,24,9.0,4.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,0,0,1,1,1,1.0,1,1.0,1.0,1.0,1,1,1,1.0,0.0,0,1,1,0.0,0.0,0,1
274723871,1,2.0,5,24,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,1,0,1,1,1,0.0,1,1.0,0.0,1.0,1,0,0,1.0,1.0,1,1,1,1.0,1.0,1,1
